ph,Greyscale
0,30.629
0,30.62533333
0,30.72133333
0,30.629
0,30.629
0,30.72133333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.96233333
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.629
0,30.609
0,30.70133333
0,30.70133333
0,30.705
0,30.705
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.37166667
0,30.26833333
0,30.36433333
0,30.368
0,30.368
0,30.26833333
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.60166667
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.26833333
0,30.388
0,30.388
0,30.26833333
0,30.26833333
0,30.72866667
0,30.62533333
0,30.72133333
0,30.629
0,30.629
0,30.62533333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.54933333
0,30.54933333
0,30.62533333
0,30.62533333
0,30.705
0,30.60166667
0,30.60166667
0,30.70133333
0,30.70133333
0,30.60166667
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
0,30.70133333
